,,,,,,,,,,,,,,,,,,,,,,,,,,
RunNumber,Date,Start Time,End Time,Total Time (min),# of spills,part per spill,beam type,beam file,beam energy [GeV],number of evt.,Table position X [mm],Table position Y [mm?],Table Degree,SiPM Temp Start ,SiPM Temp End,cc1 (474) (bars),cc2 (537) (bars),cc3 (519) (bars) does not work,SiPM HV,edited by,Shifter(s),Notes,,,Error Run List,
1762,06/22,9:50 PM,10:05 PM,15 min,not set up,not set up,mu+,104,120,not set up,173.4,1464,,not set up,not set up,,not set up,not set up,not set up,GV,"GV, ZLG, MP",,,,#N/A,#N/A
1763,Jun 22,22:10,10:42 PM,32 min,not set up,not set up,pi+,95,80,not set up,210,1464,,not set up,not set up,,not set up,not set up,not set up,GV,"GV, ZLG, MP",file is 2026 FM 95,,,,
1764,Jun 22,10:43 PM,11:20 PM,38 min,not set up,not set up,pi+,95,80,35000,209.4,1345,,not set up,not set up,,not set up,not set up,not set up,GV,"GV, ZLG, MP",file is 2026 FM 95,,,,
1766,Jun 23,1:06 AM,1:34 AM,28 min,3,2000,pi+,99,160,150600,214.9,-1345,,18,18,0.025,Not working,0.235,28,MH,"MH, WJ, AS","Center of the detector. First pi+ energy in energy scan. Chrenkov Chamber 474 pressure does not go below .025 when trying to set at .005 bar.  Cherenkov Chamber 519 .226 and goes to .235
The expected cc pressure is in log book. Board 12 and 13 T is 21 C and 19 C respectivley. Highest of the boards",,,,
1767,Jun 23,1:44 AM,2:26 AM,40 min,3,2000,pi+,98,140,322326,214.9,-1345,,18,18,0.025,Not working,0.314,28,MH,"MH, WJ, AS",Center of detector. Boards 12 and 13 still hotter than the rest. Boards 10 and 11 are about 8 degrees  BEND.042.049 is going in and out being red,,,,
1768,Jun 23,2:33,2:58 AM,15 min,3,700,e+,81,140,101177,214.9,-1345,,18,18,0.025,Not working,0.316,28,MH,"MH, WJ, AS",e+ center of detector. Changed to e+ for sake of time when changing the cc. Will alternate pi+ and e+,,,,
1769,Jun 23,3:03 AM,3:25 AM,22 min,3,2400,pi+,97,120,211793,214.9,-1345,,18,18,0.025,Not working,0.448,28,WJ,"MH, WJ, AS",Center of detector. pi+ with new cc pressure,,,,
1770,Jun 23,3:27 AM,4:20 AM,53 min,3,1000,e+,79,120,202136,214.9,-1345,,18,19,0.025,Not working,0.448,28,MH,"MH, WJ, AS","Center of detector. PSB ring down, less intensity. Lots of muon contamination in this beam so will take more events",,,,
1771,Jun 23,4:26,4:38 AM,12 min,3,,pi+,96,100,113174,214.9,-1345,,16,16,0.025,Not working,0.66,28,MH,"MH, WJ, AS",Center of detector. PSB ring down,,,,
1772,Jun 23,4:44,5:18 AM,34 min,1,500,e+,77,100,103372,214.9,-1345,,16,16,0.025,Not working,0.66,28,MH,"MH, WJ, AS",Center of detector. PSB ring down,,,,
1773,Jun 23,5:25 AM,5:44 AM,19 min,3,1800,pi+,95,80,151980,214.9,-1345,,14,14,0.025,Not working,0.895,28,MH,"MH, WJ, AS",Center of detector. PSB ring down. Beam spot is much larger for e+ so will just do pi+ until PSB is back,,,,
1774,Jun 23,6:02 AM,6:31 AM,29 min,1,1800,pi+,94,60,156254,214.9,-1345,,14,15,0.06,Not working,1.788,28,MH,"MH, WJ, AS","Center of detector, PSB ring back",,,,
1775,Jun 23,6:35 AM,7:20 AM,45 min,3,1600,e+,73,60,289891,214.9,-1345,,16,16,0.06,Not working,1.786,28,MH,"MH, WJ, AS",Center of detector. WIFI went out in the middle of the run but the DAQ still took data,,,,
1776,Jun 23,7:34 AM,7:55 AM,21 min,3,1500,pi+,93,40,126975,214.9,-1345,,17,17,0.1,Not working,3.554,28,MH,"MH, WJ, AS",Center of detector,,,,
1777,Jun 23,8:05 AM,8:10 AM,5 min,3,3,e+,71,40,28,214.9,-1345,,17,17,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8,,,,
1778,Jun 23,8:14 AM,8:16 AM,2 min,4,,e+,71,40,7,214.9,-1345,,19,19,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8,,,,
1779,Jun 23,8:19 AM,8:47 AM,28 min ,4,,e+,71,40,"85,514",214.9,-1345,,17,20,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8,,,,
1780,Jun 23,9:00 AM,9:07,7 min ,2,1800,e+,71,40,31582,214.9,-1345,,18,18,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8 ,,,,
1781,Jun 23,9:22 AM,,,2,,e+,71,40,,214.9,-1345,,16,16,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8,,,,
1782,Jun 23,,,,2,,e+,71,40,,214.9,-1345,,,,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",JUNK RUN No current on board 8,,,,
1792,Jun 23,12:04 PM,12:08 PM,4 min ,NA,NA,NA,NA,NA,"200,000",214.9,-1345,,19,19,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",Pedestal Run (Beam off for 2 hours),,,,
1793,Jun 23,12:10 PM,12:15 PM,5 min,NA,NA,NA,NA,NA,"209,571",214.9,-1345,,20,20,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",Pedestal Run ,,,,
1794,Jun 23,12:16,12:21,5 min ,NA,NA,NA,NA,NA,"231,691",214.9,-1345,,21,21,0.1,Not working,3.554,28,CN,"CN, ZLG, MP",Pedestal Run ,,,,
