run,tracker1_x_slope,tracker1_x_r,tracker1_x_n,tracker1_x_n_points,tracker1_y_slope,tracker1_y_r,tracker1_y_n,tracker1_y_n_points,tracker2_x_slope,tracker2_x_r,tracker2_x_n,tracker2_x_n_points,tracker2_y_slope,tracker2_y_r,tracker2_y_n,tracker2_y_n_points
1762,0.963457505330431,0.9996567713361623,4167,54,0.975054965761664,0.9994869953247949,4167,44,0.9780324368901341,0.9995316232059499,4167,48,0.9853059753259864,0.9995266392246142,4167,37
1763,1.0464141043982484,0.9982748603691187,14600,25,0.9968605978784824,0.9981358216669868,14600,23,1.0079096191558006,0.9986535601589561,14600,26,0.9983711295144764,0.9986719462532032,14600,26
1764,1.0634836848991673,0.9980090509015221,8402,29,1.0003360004204136,0.9990280377098942,8402,28,1.0322537967216723,0.9991550012019197,8402,27,0.9970789727905335,0.999175217153454,8402,25
1765,-0.002615436002078778,-0.12231226670581313,13832,8,0.2715111817131822,0.6881660486051225,13832,10,0.02955325505076373,0.22201585124765805,13832,21,-0.00725048963369375,0.08640243645309192,13832,16
1766,1.0756948355072609,0.9981668818985957,46591,23,1.0015713267987318,0.9966088884431745,46591,21,1.0343938392328789,0.9978859689208183,46591,23,0.9901927295963586,0.9963529117061624,46591,21
1767,1.06665245514277,0.9979635524697507,81046,25,0.9607500217937875,0.997740431401666,81046,19,1.022678385416667,0.9999999999999999,81046,2,0.996766273719914,0.9968888053334068,81046,21
1768,0.9917943456413287,0.9988273419381469,16561,25,0.9790104166666665,0.9999999999999999,16561,15,0.9984924500672108,0.9988985871162666,16561,28,0.9970027516970773,0.9986048147020112,16561,23
1769,1.0676425453637317,0.9984623717206498,65890,28,0.994177270840233,0.9982706533234719,65890,23,1.0305750706030727,0.9978637542736241,65890,27,0.9999985513213785,0.9969805017336686,65890,22
1770,0.9895862323623605,0.998976725392415,30089,27,0.9867368892357429,0.9976744526271164,30089,27,1.006466805539308,0.998535645157585,30089,23,0.9961483121326741,0.9976195287522881,30089,25
1771,1.0649924309271945,0.9989785721217997,36871,28,0.9878406505790585,0.999063761992589,36871,30,1.0359012372832619,0.998205533574384,36871,29,0.9740792549995415,0.998081437009557,36871,29
1772,0.9893839525879398,0.9991642729563213,11617,29,0.9800480719544704,0.9986329470717922,11617,28,0.9880721107063021,0.9987151048569046,11617,27,0.9954566538840548,0.9986309762518043,11617,28
1773,1.0649712947804808,0.9985962467346315,39266,29,0.998218772365653,0.9984349913208036,39266,30,1.0180358043529412,0.9982211666911956,39266,29,0.9973293141522366,0.9965636726082844,39266,28
1774,1.0479235997829377,0.999017417916331,42197,28,0.9855308546599173,0.9983639245741243,42197,28,1.0164818261610475,0.9980559745740248,42197,28,0.9978935235727493,0.9978038045431549,42197,29
1775,0.9948466133631587,0.9985734503693017,25300,31,0.9756578432544841,0.9979757960061658,25300,23,0.9974843388047573,0.9985811734609406,25300,27,1.0011382838664833,0.9978565298369181,25300,27
1776,1.039766883579932,0.998620852212573,32919,30,0.9661274298937628,0.9984113632258227,32919,29,1.0051653633913091,0.9975791551321442,32919,29,0.9906713898047818,0.9980358722195118,32919,32
1777,,,,,,,,,,,,,,,,
1778,,,,,,,,,,,,,,,,
1779,0.9852978400489157,0.9991808479053864,5417,26,0.9801029365959153,0.9979180030572015,5417,27,0.9825592834546137,0.9987082120040134,5417,26,0.9941526522532118,0.9985608381508201,5417,29
1780,0.9933653114233799,0.9991973936656819,1850,23,0.9827387510289556,0.996902768101219,1850,15,0.9969747593827242,0.9989943434555266,1850,24,0.9655905329847926,0.99620088011499,1850,12
1781,,,,,,,,,,,,,,,,
1783,,,,,,,,,,,,,,,,
1784,,,,,,,,,,,,,,,,
1785,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,,,,
1788,,,,,,,,,,,,,,,,
1789,,,,,,,,,,,,,,,,
1790,,,,,,,,,,,,,,,,
1791,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,
1793,,,,,,,,,,,,,,,,
1794,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,
1796,,,,,,,,,,,,,,,,
1797,0.9781795880572152,0.9988947115909212,6181,18,0.9739823897685016,0.9987520369491272,6181,28,0.9996841262992754,0.9989769921984518,6181,24,0.9991981361394532,0.998435242966104,6181,22
1798,0.9836881562884465,0.9981133360658979,4049,32,0.9783466835863444,0.9983157144753521,4049,31,0.9901374678478747,0.9989846660785149,4049,29,0.9885259666340064,0.9982176616048599,4049,28
1799,1.0184447579635354,0.9987376309158936,2600,30,0.9760870439648799,0.9984732680299712,2600,29,0.9979254031919128,0.9976108523548388,2600,25,0.9890577276146574,0.9994352767561844,2600,30
1800,,,,,,,,,,,,,,,,
1801,0.9886691859462287,0.9989807974478554,3634,29,0.9755684536509093,0.9981010084223884,3634,23,0.9947425658914801,0.999312657905518,3634,27,0.9899900622187867,0.9989927788131561,3634,30
1802,0.993231066772272,0.9991694078966509,2374,24,0.9654570393522994,0.9983232735378981,2374,26,0.994508347068478,0.9989523639404475,2374,23,0.9808576906237184,0.9979791983950387,2374,21
1803,,,,,,,,,,,,,,,,
1804,0.9815490114901396,0.9979650108651316,29338,26,0.9807368359304026,0.9982039779151967,29338,25,0.9913335755207734,0.9979219367663166,29338,26,0.9784011301201341,0.997207170787947,29338,24
1806,,,,,,,,,,,,,,,,
1807,0.9846010797693864,0.9985143295801922,16507,23,0.9886253540401686,0.9983001804350107,16507,24,0.9910895496400298,0.9987968808791438,16507,22,0.9939690391198143,0.9982622447617644,16507,25
1808,1.0611024028984026,0.998726903999653,13339,28,0.996316429584223,0.998612624886121,13339,22,1.0352970648546365,0.9969017397148926,13339,24,1.0022295513005741,0.997284649004028,13339,28
1809,1.0834504547850676,0.9977021000549264,32068,23,1.008279275828052,0.9983155738077315,32068,21,1.032268045753513,0.9972652054054321,32068,23,1.0013375155398776,0.9981972236734501,32068,20
1810,1.0645115206429,0.9988264393462175,26758,28,1.0010230253187447,0.9982328728967399,26758,23,1.0196843991313578,0.9984962703095335,26758,26,0.999630332024922,0.9975413947904023,26758,22
1811,1.0540558097831838,0.9992002089049854,14862,29,0.9946978557996272,0.9988575281449353,14862,26,1.0102949405686394,0.9972087663643985,14862,27,0.9831065740896888,0.9990658976086497,14862,22
1812,0.9962476678677473,0.9987430159791973,14235,32,0.9757125375142934,0.9986234903555729,14235,22,0.9866938773155931,0.9982571956351904,14235,28,0.993177902094479,0.9991435174126184,14235,20
1813,0.9956563879808358,0.9983530636821485,8616,27,0.9866246114252561,0.9985741616432003,8616,26,0.999342159231965,0.9984551665651875,8616,24,0.983755934043469,0.9985644380813148,8616,26
1814,0.9877591519977433,0.9990102748689287,6800,29,0.9783804844455952,0.9980249340505055,6800,28,0.9795479379300076,0.9977481155063629,6800,28,0.9720187740194787,0.9985384739404615,6800,21
1815,0.9990298022981874,0.9987656440578248,25664,32,0.9711153933657276,0.9989730690885532,25664,33,0.9950152065790924,0.9977782120502023,25664,32,0.9824917645699837,0.9977284680231392,25664,29
1816,0.9749091872821039,0.997798484613324,4155,35,0.9763041496104615,0.9972061940391336,4155,29,0.987442528744335,0.9985991826920648,4155,27,0.9688399797590357,0.997228025610538,4155,27
1817,0.9644570809110509,0.9987858728495559,13227,31,0.9818786245859621,0.9989199404410103,13227,27,0.9854009442568571,0.9986570677701399,13227,29,0.9824566989644268,0.9981705953483184,13227,22
1818,0.9737402011679909,0.9972843855813469,10922,26,0.9787910472747976,0.9988688419981413,10922,27,0.9726735403980885,0.9989080882842386,10922,26,1.0018359374999997,0.9999999999999998,10922,11
1819,0.977801213134198,0.9984206614318708,14367,30,0.9541757842925549,0.9988010836419526,14367,27,0.9784217575531002,0.9978885275681784,14367,29,0.9874101427080212,0.9988196610661308,14367,29
1820,0.965646580885245,0.9986522775008531,9189,25,0.9743978761584222,0.9987774717643756,9189,32,0.9854214953343143,0.9989141369809418,9189,28,0.9859846663660997,0.9987530808962537,9189,23
1824,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,
1827,0.9605165181147147,0.9970094027684813,470,29,0.9708386549065442,0.9986143992318409,470,31,0.9800569629530644,0.9990451164528847,470,21,0.9812061187479282,0.9990464440870971,470,32
1828,,,,,,,,,,,,,,,,
1829,0.978692245090267,0.9983526547779736,3303,22,0.979347497357652,0.9993330492840647,3303,41,0.9880858416369152,0.9985272833856544,3303,27,0.9896577912122378,0.9992770190809492,3303,40
1830,,,,,,,,,,,,,,,,
1831,0.9904961147194858,0.9991245710974167,3867,34,0.978663396011555,0.9994597123384162,3867,45,0.9951114531599907,0.9992796802150632,3867,34,0.9845804923908575,0.9996121232068529,3867,45
1832,1.0804319922923338,0.9992870867675139,15251,25,0.996944150924524,0.9992752948542407,15251,28,1.025370352468703,0.9992106430489488,15251,25,0.9939439868798259,0.9989957012234011,15251,29
1833,,,,,,,,,,,,,,,,
1834,1.0650542088314932,0.9991561149398945,12919,26,0.9883778742609649,0.9992154270092088,12919,28,1.0403354409713814,0.9988125996417747,12919,28,0.989580442495331,0.9991006413700948,12919,27
1835,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,
1838,7.554726462669512,0.7017041818189499,99,3,-5.243437499999999,-1.0,99,2,7.782872023809515,0.718967047061945,99,3,2.3338018999344814,0.27735009811261446,99,3
1839,0.42096984853296693,0.6766076587706344,3803,5,0.1601786246873487,0.6005254708349143,3803,7,,,,,-0.05606414265306387,-0.6680589920818434,3803,6
1840,,,,,,,,,,,,,,,,
1841,0.9892606842450148,0.9985216694840829,3779,26,0.9928870467833675,0.9992969866948888,3779,43,0.9784925788899926,0.9989228580464834,3779,27,0.9881638959906741,0.9995320005840234,3779,44
1842,-0.6701793780509686,-0.5552230850506725,1813,7,-0.7886001870972419,-0.4461702208909978,1813,12,-0.04617464484117442,-0.12436128557447575,1813,9,-0.702453770860687,-0.4187979216545042,1813,11
1843,,,,,,,,,,,,,,,,
1844,0.9851845853851318,0.9991583373037437,3397,34,0.9806013040990333,0.9996313204353042,3397,46,0.9960148972300891,0.9992904142885689,3397,33,0.9886958232346337,0.9993617558430591,3397,41
1845,0.981966295448151,0.9991099039507423,1756,31,0.9850761911059243,0.9993618013203929,1756,44,0.9858296836240246,0.9994037160858559,1756,32,0.9883654531436605,0.9993759367634694,1756,42
1846,0.9846030470179079,0.9990058074678766,3155,33,0.9801158220419708,0.9994799239794137,3155,46,0.9803208589694419,0.9989574584617261,3155,32,0.9917398910042385,0.9996272550338635,3155,44
1847,0.9881529283446927,0.9988391230655803,3391,32,0.984569160422937,0.9995830377202591,3391,47,0.990483707382594,0.9980613283259775,3391,28,0.9869535637907945,0.9995172275990309,3391,44
1848,0.9655940622160195,0.9991730646274553,7074,34,0.967836662065641,0.9993308120507244,7074,30,0.9744357777533813,0.9990204754233868,7074,31,0.9796991017015683,0.9991772939556085,7074,30
1849,0.9809909496849658,0.9992851194429009,3402,30,0.9810709415875721,0.9992516400523731,3402,41,0.9869554662045,0.9991012521502143,3402,31,0.9888019854512089,0.999329872125104,3402,42
1850,,,,,,,,,,,,,,,,
1851,0.985486933063521,0.9984941936407319,1779,31,0.9853192166389801,0.9992932637886806,1779,41,0.9692806323310372,0.998717341597164,1779,29,0.9820706385756297,0.9992321087452835,1779,45
1852,0.20006486563556136,0.23113351748266142,1383,8,0.11323121809047805,0.1392215287260859,1383,16,0.33965289291594436,0.33013441319224257,1383,9,-0.12304613320942355,-0.08730817014997809,1383,13
1853,0.9928453743144099,0.9984541931765446,2295,26,0.9815142278479501,0.9993082174831635,2295,38,0.9851764579904803,0.9983105004071402,2295,23,0.9896878498928527,0.9991947548469222,2295,35
1854,0.3314999571990941,0.5432103356329842,1623,9,0.3498219881993385,0.2744540789785525,1623,17,-0.5707193529873716,-0.43824817132201865,1623,6,0.40241141484994897,0.20030841445582853,1623,19
1855,0.9947495066588596,0.9993831722817542,2044,31,0.9892357092284282,0.9994008170386851,2044,45,0.9877349884172937,0.998818639253137,2044,33,0.992799389125617,0.9993479888457316,2044,43
1856,0.9813250834870799,0.9989191266834063,2065,31,0.9858768781944973,0.9993240382089837,2065,40,0.9812593531499005,0.998617304143656,2065,26,0.9906030073211382,0.9996017266040605,2065,44
1857,1.0024009480688882,0.9992720806039824,2144,32,0.9805466078815087,0.9994478672468599,2144,51,0.9873238415463793,0.9987245086470545,2144,29,0.98429419008879,0.9993158893264088,2144,48
1858,-0.23223920309725277,-0.9648447433779065,1138,4,-0.053978908644655044,0.03303977065873767,1138,18,-0.40723352377460975,-0.45015954849757717,1138,9,0.011642892026303428,-0.016446625897473276,1138,19
1859,-0.048456007968590266,0.168640771796908,1092,9,-0.49638442805957544,-0.43251401440819903,1092,16,-0.060278761947740706,0.2671506715431583,1092,9,-0.27626818334762177,-0.18530986093504637,1092,17
1860,0.09244165113852391,0.2623793387486434,1237,7,0.14279520802495405,0.14159019960944477,1237,16,-0.10525014584810337,0.02227296859083302,1237,9,-0.10973374789134557,-0.024050640750545322,1237,16
1861,0.159726828229491,-0.1609489265399888,1250,9,0.5498409405140299,0.3789829124671375,1250,13,0.003892915349633874,-0.11474107032446014,1250,10,0.12023881737300927,0.17764145907918047,1250,16
1862,-0.052142061808552125,-0.10227380329569541,1273,17,0.16110908020368744,0.23864573191739416,1273,17,-0.06564768694315896,-0.17640326996719896,1273,14,-0.6511980165379552,-0.30753668861045036,1273,18
1863,0.47913169878240996,0.25147784538477275,1421,9,-0.049019575493761444,-0.2227865461557631,1421,13,0.23856709256335926,0.2499743134394763,1421,9,-0.34748587611801146,-0.5108700326539676,1421,11
1864,,,,,,,,,,,,,,,,
1865,2.195544089731692,0.8303464763418923,1363,7,-0.14202123873753658,-0.06697871280084752,1363,22,1.2990313381900718,0.432665226708479,1363,8,-0.4050638113518985,-0.20028482362518465,1363,17
1866,0.2790455184409841,0.19296963948052256,1458,13,0.1313746952290461,0.26362996746445233,1458,15,0.3764456136433693,0.3110839740478125,1458,14,-0.24747720512657645,-0.09372081467729257,1458,15
1867,-0.6372630175036096,-0.5473574897450714,1304,10,0.2598338427894185,0.1106302411612238,1304,16,-0.6868424601035418,-0.7444879892176,1304,11,-0.011465501568563538,-0.14387774355511412,1304,16
1868,0.992680748874332,0.9986794064486281,2024,33,0.9803044004665064,0.9994450107111956,2024,45,0.9870327479067361,0.9991282812940034,2024,31,0.9921295404845019,0.9995884169415056,2024,46
1869,0.014824496695372452,-0.037577467474534595,1232,9,0.07781190230287921,0.083840297221647,1232,12,0.08977099680434018,-0.023772501613368927,1232,10,-0.09994723072893649,0.002619532228661056,1232,10
1870,0.9953753780801251,0.9992686256921823,1920,33,0.9774789485625824,0.9994399699417144,1920,43,0.9865411933943665,0.9990016510943028,1920,28,0.9894022050043753,0.9994281449234695,1920,42
1871,0.3470029387108356,0.4078093591364345,1336,11,0.3700467730555887,0.2182643447817543,1336,13,-0.4314790562003147,-0.6572287477474423,1336,7,0.1708163211452495,0.1452784873829731,1336,16
1872,-0.7381315723428413,-0.7695244386895285,1239,5,-0.6356606914972476,-0.48444831742907735,1239,10,-0.23586297863547528,-0.3425005757574089,1239,7,1.0512602886206004,0.39255285689703123,1239,8
1873,0.8530053584691658,0.6406317591993078,1260,12,-0.03293227669609158,0.011773530054998657,1260,16,1.0225961691125984,0.6904994987502138,1260,10,-0.034931264024969044,0.008056127892231221,1260,21
1874,0.9679183304131891,0.9991147606856927,1803,30,0.9827542595516864,0.999377867104147,1803,42,0.9756059980719228,0.9992592443889741,1803,31,0.994388474275357,0.999446448725038,1803,40
1875,-0.4457988815150302,-0.5234575011158517,1386,5,0.10154464993279477,0.009596967528052927,1386,18,-0.45196917662409314,-0.48048163811493383,1386,9,-0.27757774692061143,-0.6923580383186735,1386,11
1876,-0.3876878819531041,-0.43776131595926415,1210,12,0.5301465880665973,0.6328632361585569,1210,12,-0.22500392750558887,-0.2902213371961661,1210,8,-0.018879561152125524,0.020032011595022683,1210,16
1877,-0.3731983513669708,-0.4557599976922982,1104,10,-0.42038973688737286,-0.06128805907320889,1104,21,0.11537613742902521,-0.004598990764346071,1104,11,-0.5044732557145419,-0.15777711059759025,1104,22
1878,-1.337808084389003,-0.8858920666876038,1560,3,0.04968632297793685,-0.06251471371505238,1560,13,-0.1505948540101567,-0.1111978708296671,1560,6,0.19416054253413265,0.1594451464406742,1560,13
1879,0.985362534067925,0.9988036160489863,1991,33,0.9821698033445462,0.9993010055358023,1991,41,0.9829677641208798,0.9988148193137885,1991,29,0.9851753642753455,0.9993993084843633,1991,38
1880,0.9877463865926942,0.9990897084399649,1607,32,0.9907779808073649,0.999070817178768,1607,43,0.996245713522907,0.9988855151319579,1607,29,0.9891773288873664,0.9992626666252314,1607,40
1881,0.9933542327520173,0.9982990834881048,1618,29,0.9839437621583015,0.9993994088447724,1618,33,0.9996239150259376,0.9991138311608269,1618,28,0.9896020083613565,0.999639607030318,1618,36
1882,1.0020165021979164,0.9983581945447146,1373,32,0.9821112980770214,0.9990176366716158,1373,40,1.0048012319768342,0.9984522851611115,1373,30,1.0020863727058296,0.9993665666968679,1373,42
1883,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,
